"participant.private.id","lang_back_keep","battery_agg_wider_simp","part_rhythm_agg","part_melody_agg","digit_cleaned","mean_presence"
"9353724",1,1,1,1,1,1
"9358660",1,1,1,1,1,1
"9368766",1,1,1,1,1,1
"9395620",1,1,1,1,1,1
"9409779",1,1,1,1,1,1
"9410062",1,1,1,1,1,1
"9411978",0,1,1,1,1,0.8
"9421972",1,1,1,1,1,1
"9425022",1,1,1,1,1,1
"9430124",1,1,1,1,1,1
"9443955",1,1,1,1,1,1
"9444319",1,1,1,1,1,1
"9451013",1,1,1,1,1,1
"9450998",1,1,1,1,1,1
"9451042",1,1,1,1,1,1
"9451089",1,1,1,1,1,1
"9451120",1,1,1,1,1,1
"9452542",0,1,1,1,1,0.8
"9500627",1,1,1,1,1,1
"9451100",1,1,1,1,1,1
"9451017",1,1,1,1,1,1
"9450505",1,1,1,1,1,1
"9450579",1,1,1,1,1,1
"9449166",1,1,1,1,1,1
"9448763",0,1,1,1,1,0.8
"9422164",1,1,1,1,1,1
"9421803",0,1,1,1,1,0.8
"9421679",1,1,1,1,1,1
"9420710",0,1,1,1,1,0.8
"9395971",1,1,1,1,1,1
"9387113",1,1,1,1,1,1
"9382853",1,1,1,1,1,1
"9377339",1,1,1,1,1,1
"9370647",0,1,1,1,1,0.8
"9350387",1,1,1,1,1,1
"9344380",1,1,1,1,1,1
"9343630",1,1,1,1,1,1
"9342558",1,1,1,1,1,1
"9339123",1,1,1,1,1,1
"9339129",1,1,1,1,1,1
"9340264",1,1,0,1,1,0.8
"9339523",1,1,0,0,1,0.6
"9339213",1,1,1,1,1,1
"9339125",1,1,1,1,1,1
"9339148",1,1,1,1,1,1
"9339133",1,1,1,1,1,1
"9339189",1,1,1,1,1,1
"9339136",1,1,1,1,1,1
"9339124",1,1,1,1,1,1
"9338445",1,1,0,1,1,0.8
"9338331",1,1,1,1,1,1
"9337202",1,1,1,0,1,0.8
"9337052",1,1,1,1,1,1
"10320591",1,1,1,1,1,1
"10412379",1,1,1,1,1,1
"10390767",1,1,1,1,1,1
"10414870",0,1,1,1,1,0.8
"10415853",1,1,1,1,1,1
"10416041",1,1,1,1,1,1
"10347210",1,1,1,1,1,1
"10348330",1,1,1,1,1,1
"10348345",1,1,1,1,1,1
"10350426",0,1,1,1,1,0.8
"10351710",1,1,1,1,1,1
"10351740",1,1,1,1,1,1
"10379697",1,1,1,1,1,1
"10386063",1,1,1,1,1,1
"10218798",1,1,1,1,1,1
"10273727",1,1,1,1,1,1
"10284883",1,1,1,1,1,1
"10321218",0,1,1,1,1,0.8
"10344370",1,1,1,1,1,1
"10344440",1,1,1,1,1,1
"10345694",1,1,1,1,1,1
"12682450",1,1,1,1,1,1
"12683195",1,1,1,1,1,1
"12684128",1,1,1,1,1,1
"12685861",1,1,1,0,1,0.8
"12688826",1,1,1,1,1,1
"12689609",1,1,1,1,1,1
"12690296",1,1,1,1,1,1
"12690242",1,1,1,1,1,1
"12691420",1,1,1,1,1,1
"12693655",1,1,1,1,1,1
"12696001",1,0,1,1,0,0.6
"12697035",1,1,1,1,1,1
"12702964",1,1,1,1,1,1
"12704596",1,1,1,1,1,1
"12720095",1,1,1,1,1,1
"12726118",1,1,1,1,1,1
"12738089",1,1,1,1,1,1
"12739237",1,1,1,1,1,1
"12746102",1,1,1,1,1,1
"12746516",1,1,1,1,1,1
"12793510",1,1,1,1,1,1
"12793591",1,1,1,1,1,1
"12796363",0,1,1,1,1,0.8
"12804425",1,1,1,1,1,1
"12810603",1,1,1,1,1,1
"12811488",1,1,1,1,1,1
"12817151",1,1,1,1,1,1
"12817670",0,1,1,1,1,0.8
"12825011",1,1,1,1,1,1
"12829694",1,1,1,1,1,1
"12862830",1,1,1,1,1,1
